,Unnamed: 0,location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,foreign_worker,class,application_date,works_outside_US,kmeans_labels
13,13,"Charleston, SC",South Carolina,0.0,24.0,'critical/other existing credit','new car',1199,0.0,>=7,4,'male single',none,0,car,60,none,own,2,'unskilled resident',1,no,Good,5/20/1994,no,0
14,14,"Charleston, SC",South Carolina,-6002.72,15.0,'existing paid','new car',1403,42.11,1<=X<4,2,Unknown,none,4,car,31,none,rent,0,skilled,1,yes,Good,5/21/1994,yes,0
15,15,"Chester, SC",South Carolina,-787.62,24.0,'existing paid',radio/tv,1282,247.0,Unknown,4,'female div/dep/mar',none,0,car,32,none,own,1,'unskilled resident',1,Unknown,Good,5/22/1994,Unknown,0
16,16,"Chester, SC",South Carolina,0.0,20.0,'critical/other existing credit',radio/tv,2424,0.0,Unknown,4,'male single',none,4,'life insurance',31,none,own,2,skilled,1,yes,Good,5/23/1994,yes,0
17,17,"Dillon, SC",South Carolina,-9440.86,30.0,'no credits/all paid',business,8072,0.0,<1,0,'male single',none,3,car,25,bank,own,3,skilled,1,yes,Bad,5/24/1994,yes,1
18,18,"Dillon, SC",South Carolina,64.89,24.0,'existing paid','used car',3234,2.66,>=7,4,'female div/dep/mar',none,2,'no known property',31,none,'for free',0,'high qualif/self emp/mgmt',Unknown,Unknown,Bad,5/25/1994,Unknown,2
19,19,"Florence, SC",South Carolina,0.0,24.0,no credit history,radio/tv,3430,0.0,>=7,3,'male single',Unknown,2,car,31,none,own,1,skilled,Unknown,yes,Bad,5/26/1994,yes,2
20,20,"Greenville, SC",South Carolina,0.0,20.0,'critical/other existing credit','new car',2134,0.0,1<=X<4,4,'male single',none,4,car,48,none,own,3,skilled,1,yes,Good,5/27/1994,yes,0
21,21,"Greenwood, SC",South Carolina,-864.51,6.0,'existing paid',radio/tv,2647,742.31,1<=X<4,2,'male single',none,3,'real estate',44,none,rent,1,skilled,2,yes,Good,5/28/1994,yes,0
22,22,"Horry, SC",South Carolina,-5730.5,10.0,'critical/other existing credit','new car',2241,41.19,Unknown,1,'male single',Unknown,3,'real estate',48,none,rent,2,Other,2,Unknown,Bad,5/29/1994,Unknown,0
23,23,"Jasper, SC",South Carolina,104.66,12.0,'critical/other existing credit','used car',1804,438.95,<1,3,'male single',none,4,Other,44,none,own,1,skilled,1,Unknown,Good,5/30/1994,Unknown,0
24,24,"Lexington, SC",South Carolina,0.0,10.0,'critical/other existing credit',Unknown,2069,0.0,1<=X<4,2,'male mar/wid',none,1,car,26,none,own,2,skilled,1,yes,Bad,May-31-1994,yes,0
25,25,"Orangeburg, SC",South Carolina,0.0,6.0,'existing paid',furniture/equipment,3234,0.0,1<=X<4,1,'male single',none,0,'real estate',36,bank,own,1,'unskilled resident',1,no,Good,6/1/1994,no,2
26,26,"Richland, SC",South Carolina,0.0,6.0,'no credits/all paid',radio/tv,426,0.0,Unknown,0,'male mar/wid',none,4,car,39,none,own,1,'unskilled resident',1,no,Good,6/2/1994,no,0
27,27,"Richland, SC",South Carolina,2577.11,12.0,'all paid',radio/tv,409,2599.63,1<=X<4,3,'female div/dep/mar',none,0,'real estate',42,none,rent,2,Other,Unknown,no,Good,6/3/1994,no,0
28,28,"Spartanburg, SC",South Carolina,184.53,7.0,'existing paid',radio/tv,2415,67.24,1<=X<4,0,'male single',guarantor,2,'real estate',34,none,own,0,Other,1,no,Good,6/4/1994,no,0
29,29,"Spartanburg, SC",South Carolina,-3479.0,60.0,'delayed previously',business,6836,26.85,>=7,0,'male single',none,4,'no known property',63,Other,own,2,skilled,1,yes,Good,6/5/1994,yes,1
30,30,"Union, SC",South Carolina,0.0,18.0,'existing paid',business,1913,0.0,Unknown,3,'male mar/wid',Unknown,3,'real estate',36,bank,own,1,skilled,1,no,Good,6/6/1994,no,0
31,31,"Williamsburg, SC",South Carolina,-5072.05,24.0,'existing paid',furniture/equipment,4020,12.54,Unknown,2,'male single',none,2,car,27,stores,own,1,skilled,1,Unknown,Good,6/7/1994,Unknown,2
32,32,"York, SC",South Carolina,65.97,18.0,'existing paid','new car',5866,265.12,1<=X<4,2,'male single',none,2,car,31,none,own,2,skilled,1,no,Bad,6/8/1994,no,2
33,33,"Minnehaha, SD",South Dakota,0.0,12.0,'critical/other existing credit',business,1264,0.0,Unknown,4,'male single',none,4,Other,57,none,rent,1,'unskilled resident',1,yes,Bad,6/9/1994,yes,0
34,34,"Hughes, SD",South Dakota,978.69,12.0,'existing paid',furniture/equipment,3234,41.34,<1,4,'female div/dep/mar',none,1,'life insurance',33,bank,Other,1,'high qualif/self emp/mgmt',1,yes,Good,6/10/1994,yes,2
35,35,"Bradley, TN",Tennessee,163.0,45.0,'critical/other existing credit',radio/tv,4746,0.0,<1,4,'male single',none,2,'life insurance',25,none,own,2,Other,1,no,Good,6/11/1994,no,2
36,36,"Bradley, TN",Tennessee,0.0,48.0,'critical/other existing credit',education,6110,0.0,1<=X<4,1,'male single',none,3,'no known property',31,bank,'for free',1,skilled,1,yes,Good,6/12/1994,yes,2
37,37,"Davidson, TN",Tennessee,6976.08,18.0,'existing paid',radio/tv,2100,4.69,Unknown,4,'male single','co applicant',2,'real estate',37,stores,own,1,skilled,1,yes,Bad,6/13/1994,yes,0
38,38,"Fentress, TN",Tennessee,5588.7,10.0,'existing paid','domestic appliance',1225,0.0,1<=X<4,2,'male single',none,0,car,37,none,own,1,skilled,1,yes,Good,6/14/1994,yes,0
39,39,"Hamilton, TN",Tennessee,47.76,9.0,'existing paid',radio/tv,458,0.0,1<=X<4,4,'male single',none,3,'real estate',24,none,own,0,skilled,1,no,Good,6/15/1994,no,0
40,40,"Haywood, TN",Tennessee,0.0,30.0,'existing paid',radio/tv,2333,0.0,Unknown,4,'male single',none,2,car,30,bank,own,0,'high qualif/self emp/mgmt',Unknown,no,Good,6/16/1994,no,0
41,41,"Knox, TN",Tennessee,150.32,20.0,'existing paid',radio/tv,1158,0.0,1<=X<4,3,'male div/sep',none,1,car,26,none,own,0,skilled,1,no,Bad,6/17/1994,no,0
42,42,"McNairy, TN",Tennessee,158.94,18.0,'delayed previously',repairs,6204,24.41,1<=X<4,2,'male single',none,4,'real estate',44,none,own,1,'unskilled resident',2,yes,Good,6/18/1994,yes,2
43,43,"Madison, TN",Tennessee,-913.07,30.0,no credit history,'used car',6187,224.1,4<=X<7,1,'male mar/wid',none,0,car,24,none,rent,2,skilled,1,yes,Bad,6/19/1994,yes,2
44,44,"Robertson, TN",Tennessee,-8599.14,48.0,'critical/other existing credit','used car',6143,14.18,>=7,4,'female div/dep/mar',none,4,'no known property',58,stores,'for free',2,'unskilled resident',1,yes,Bad,6/20/1994,yes,2
45,45,"Sevier, TN",Tennessee,0.0,11.0,no credit history,'new car',1393,0.0,<1,4,'female div/dep/mar',none,4,car,35,none,own,2,'high qualif/self emp/mgmt',1,no,Good,6/21/1994,no,0
46,46,"Shelby, TN",Tennessee,0.0,36.0,no credit history,radio/tv,3234,0.0,>=7,4,'male single',none,4,car,39,none,own,1,skilled,1,Unknown,Good,6/22/1994,Unknown,2
47,47,"Shelby, TN",Tennessee,-1631.58,6.0,'existing paid','used car',3234,0.0,unemployed,1,'female div/dep/mar',none,2,Other,23,none,rent,1,'unemp/unskilled non res',1,yes,Bad,6/23/1994,yes,2
48,48,"Bastrop, TX",Texas,0.0,11.0,'critical/other existing credit','new car',7228,0.0,1<=X<4,1,'male single',none,4,'life insurance',39,none,Other,2,'unskilled resident',1,no,Good,6/24/1994,no,1
49,49,"Bell, TX",Texas,0.0,12.0,no credit history,radio/tv,2073,0.0,Unknown,4,'female div/dep/mar','co applicant',2,'real estate',28,none,own,1,skilled,Unknown,no,Good,6/25/1994,no,0
50,50,"Bexar, TX",Texas,166.03,24.0,'delayed previously',furniture/equipment,2333,0.0,<1,4,'male single',none,2,Other,29,bank,own,1,'unskilled resident',1,yes,Good,6/26/1994,yes,0
51,51,"Bexar, TX",Texas,180.59,27.0,no credit history,'used car',5965,42.7,>=7,1,'male single',none,2,car,30,none,own,0,'high qualif/self emp/mgmt',1,no,Bad,6/27/1994,no,2
52,52,"Brown, TX",Texas,0.0,12.0,'existing paid',radio/tv,1262,0.0,1<=X<4,3,'male single',none,2,car,25,none,own,1,skilled,1,no,Good,6/28/1994,no,0
53,53,"Cass, TX",Texas,0.0,20.0,'existing paid','used car',3378,0.0,1<=X<4,2,'male single',none,1,Other,31,none,own,1,skilled,Unknown,no,Good,6/29/1994,no,2
54,54,"Collin, TX",Texas,127.36,36.0,'delayed previously','new car',2225,41.6,>=7,4,'male single',none,4,'no known property',57,bank,'for free',2,skilled,1,yes,Good,6/30/1994,yes,0
55,55,"Dallas, TX",Texas,0.0,6.0,'all paid','new car',783,0.0,Unknown,1,'male single',guarantor,2,'real estate',26,Other,own,1,'unskilled resident',2,Unknown,Good,Jul-01-1994,Unknown,0
56,56,"Dallas, TX",Texas,114.16,12.0,'existing paid',radio/tv,6468,0.0,unemployed,2,Unknown,none,1,'no known property',52,none,own,1,'high qualif/self emp/mgmt',1,no,Good,7/2/1994,no,2
57,57,"Fort Worth, TX",Texas,0.0,36.0,'critical/other existing credit',radio/tv,9566,0.0,1<=X<4,2,'female div/dep/mar',Unknown,2,car,31,Other,own,2,Other,1,no,Bad,7/3/1994,no,1
58,58,"Dallas, TX",Texas,3235.45,18.0,no credit history,'new car',1961,65.36,Unknown,3,'female div/dep/mar',none,2,car,23,none,own,1,'high qualif/self emp/mgmt',1,yes,Good,7/4/1994,yes,0
59,59,"Houston, TX",Texas,-9972.01,36.0,'critical/other existing credit',furniture/equipment,6229,35.8,<1,0,'female div/dep/mar','co applicant',4,'no known property',23,none,rent,2,'unskilled resident',1,yes,Good,7/5/1994,yes,2
60,60,"Denton, TX",Texas,75.44,9.0,'existing paid',business,1391,65.13,1<=X<4,2,'male mar/wid',Unknown,1,'real estate',31,bank,own,1,skilled,1,Unknown,Good,7/6/1994,Unknown,0
61,61,"El Paso, TX",Texas,158.6,15.0,'critical/other existing credit',radio/tv,1537,0.0,>=7,4,'male single',guarantor,4,'real estate',50,none,own,2,skilled,1,yes,Bad,7/7/1994,yes,0
62,62,"El Paso, TX",Texas,163.79,36.0,'no credits/all paid',business,1953,78.33,>=7,4,'male single',none,4,'no known property',61,none,'for free',1,'high qualif/self emp/mgmt',1,no,Good,7/8/1994,no,0
63,63,"Galveston, TX",Texas,139.83,48.0,'no credits/all paid',business,14421,25.59,1<=X<4,2,'male single',none,2,car,25,none,own,1,skilled,Unknown,no,Good,7/9/1994,no,1
64,64,"Gregg, TX",Texas,0.0,20.0,'existing paid',radio/tv,3181,0.0,<1,0,'female div/dep/mar',none,0,'life insurance',26,none,own,1,skilled,Unknown,no,Good,7/10/1994,no,2
65,65,"Harris, TX",Texas,0.0,27.0,'existing paid',repairs,5190,0.0,>=7,4,'male single',none,4,'life insurance',48,none,own,4,skilled,2,yes,Bad,7/11/1994,yes,2
66,66,"Harrison, TX",Texas,0.0,12.0,'existing paid',radio/tv,2171,0.0,Unknown,2,'female div/dep/mar',Unknown,2,car,29,bank,own,1,skilled,1,no,Bad,7/12/1994,no,0
67,67,"Hidalgo, TX",Texas,59.47,12.0,'existing paid','new car',1007,0.0,1<=X<4,4,'male mar/wid',Unknown,1,'real estate',31,none,own,1,skilled,1,yes,Bad,7/13/1994,yes,0
68,68,"Hidalgo, TX",Texas,0.0,36.0,'existing paid',Unknown,1819,0.0,1<=X<4,4,'male single',none,4,'no known property',31,stores,'for free',0,Other,1,yes,Good,7/14/1994,yes,0
69,69,"Hopkins, TX",Texas,0.0,36.0,'existing paid',radio/tv,2394,0.0,1<=X<4,4,'female div/dep/mar',none,4,car,25,none,own,1,skilled,1,yes,Bad,7/15/1994,yes,0
70,70,"Hunt, TX",Texas,0.0,20.0,'existing paid','used car',8133,0.0,Unknown,0,'female div/dep/mar',none,2,'life insurance',30,Other,own,1,skilled,1,no,Bad,7/16/1994,no,1
71,71,"Hunt, TX",Texas,0.0,7.0,'critical/other existing credit',radio/tv,730,0.0,>=7,4,'male single',none,2,'life insurance',31,none,rent,2,'unskilled resident',1,no,Good,7/17/1994,no,0
72,72,"Jasper, TX",Texas,0.0,8.0,'critical/other existing credit',other,1164,0.0,>=7,3,'male single',none,0,'no known property',51,bank,'for free',2,'high qualif/self emp/mgmt',2,yes,Good,7/18/1994,yes,0
73,73,"Jefferson, TX",Texas,0.0,42.0,no credit history,business,5954,0.0,4<=X<7,2,'female div/dep/mar',none,1,'real estate',41,bank,own,2,'unskilled resident',1,yes,Bad,7/19/1994,yes,2
74,74,"McLennan, TX",Texas,-220.84,36.0,'existing paid',education,1977,0.0,>=7,4,'male single',none,4,'no known property',40,none,Other,0,'high qualif/self emp/mgmt',1,yes,Bad,7/20/1994,yes,0
75,75,"Medina, TX",Texas,-6131.59,12.0,'critical/other existing credit','used car',1526,53.54,>=7,4,'male single',none,4,'no known property',66,none,'for free',2,'high qualif/self emp/mgmt',1,no,Good,7/21/1994,no,0
76,76,"Midland, TX",Texas,0.0,42.0,'existing paid',Unknown,3234,0.0,<1,0,'male single',none,0,car,34,none,Other,1,skilled,1,yes,Bad,7/22/1994,yes,2
77,77,"Montague, TX",Texas,160.21,11.0,'delayed previously',radio/tv,4771,0.0,4<=X<7,2,'male single',none,4,'life insurance',51,none,own,1,skilled,1,yes,Bad,7/23/1994,yes,2
78,78,"Nueces, TX",Texas,0.0,54.0,'no credits/all paid',Unknown,9436,0.0,1<=X<4,2,'male single',none,2,'life insurance',39,none,own,1,'unskilled resident',Unknown,yes,Good,7/24/1994,yes,1
79,79,"Potter, TX",Texas,161.2,30.0,'existing paid',furniture/equipment,3832,8.69,<1,0,'male mar/wid',Unknown,1,'life insurance',22,none,own,1,Other,1,yes,Good,7/25/1994,yes,2
80,80,"Sabine, TX",Texas,0.0,24.0,'existing paid',radio/tv,3234,0.0,<1,1,'female div/dep/mar',none,0,car,44,Other,own,2,skilled,1,no,Good,7/26/1994,no,2
81,81,"Tarrant, TX",Texas,0.0,15.0,'existing paid',radio/tv,1213,0.0,Unknown,4,'male single',none,3,'life insurance',47,stores,Other,1,skilled,1,yes,Good,7/27/1994,yes,0
82,82,"Tarrant, TX",Texas,0.0,18.0,'existing paid',business,3234,0.0,1<=X<4,3,'female div/dep/mar',none,4,'life insurance',24,none,rent,1,'unskilled resident',1,no,Bad,7/28/1994,no,2
83,83,"Taylor, TX",Texas,-5878.49,24.0,'existing paid',other,1755,98.16,>=7,0,'female div/dep/mar',guarantor,4,'real estate',58,none,own,1,Other,1,yes,Good,7/29/1994,yes,0
84,84,"Travis, TX",Texas,-1789.61,10.0,'existing paid',radio/tv,2315,32.77,>=7,3,'male single',Unknown,4,'real estate',52,none,own,1,'unskilled resident',1,no,Good,7/30/1994,no,0
85,85,"Wharton, TX",Texas,0.0,12.0,'critical/other existing credit',business,1412,0.0,1<=X<4,0,'female div/dep/mar',guarantor,2,'real estate',29,none,own,2,'high qualif/self emp/mgmt',1,yes,Good,7/31/1994,yes,0
86,86,"Williamson, TX",Texas,85.74,18.0,'critical/other existing credit',Unknown,1295,0.0,Unknown,4,'female div/dep/mar',none,1,Other,27,none,own,2,skilled,1,yes,Good,8/1/1994,yes,0
87,87,"Williamson, TX",Texas,138.23,36.0,'existing paid',education,12612,438.24,Unknown,0,'male single',none,4,'no known property',47,none,'for free',1,skilled,2,no,Good,8/2/1994,no,1
88,88,"Wood, TX",Texas,0.0,18.0,'existing paid','new car',2249,0.0,4<=X<7,4,'male single',none,3,Other,30,none,own,1,'high qualif/self emp/mgmt',2,no,Good,8/3/1994,no,0
89,89,"Dallas, TX",Texas,-9244.18,12.0,'no credits/all paid',repairs,1108,5.74,4<=X<7,4,'male single',none,3,'real estate',28,none,own,2,skilled,1,no,Good,8/4/1994,no,0
90,90,"Harris, TX",Texas,0.0,12.0,'critical/other existing credit',radio/tv,618,0.0,>=7,4,'male single',none,4,Other,56,none,own,1,skilled,1,no,Bad,8/5/1994,no,0
91,91,"Bexar, TX",Texas,-677.41,12.0,no credit history,'used car',1409,1.66,>=7,4,'male single',none,3,'real estate',31,none,own,1,skilled,1,no,Good,8/6/1994,no,0
92,92,"Salt Lake, UT",Utah,0.0,12.0,'critical/other existing credit',radio/tv,797,0.0,>=7,4,'female div/dep/mar',none,3,'life insurance',33,bank,own,1,'unskilled resident',2,yes,Good,8/7/1994,yes,0
93,93,"Salt Lake, UT",Utah,0.0,24.0,'critical/other existing credit',furniture/equipment,3617,0.0,>=7,4,'male single',Unknown,4,'no known property',20,none,rent,2,skilled,1,yes,Bad,8/8/1994,yes,2
94,94,"Accomack, VA",Virginia,45.54,12.0,'existing paid','new car',1318,5987.51,>=7,4,'male single',none,4,'real estate',54,none,own,1,skilled,1,no,Bad,8/9/1994,no,0
95,95,"Buckingham, VA",Virginia,163.33,54.0,'no credits/all paid',business,3234,89.6,<1,3,'male single',none,4,'no known property',58,none,Other,1,skilled,1,yes,Good,8/10/1994,yes,2
96,96,"Buckingham, VA",Virginia,0.0,12.0,'critical/other existing credit',education,2012,0.0,4<=X<7,4,'female div/dep/mar',none,2,car,61,none,own,1,skilled,1,no,Good,8/11/1994,no,0
97,97,"Culpeper, VA",Virginia,4.36,18.0,'existing paid',business,2622,167.17,1<=X<4,4,'male single',none,4,car,34,none,own,1,skilled,1,yes,Good,8/12/1994,yes,0
98,98,"Essex, VA",Virginia,0.83,36.0,'critical/other existing credit',radio/tv,3234,36.75,>=7,4,'male single',none,4,'real estate',36,none,own,1,skilled,Unknown,no,Good,8/13/1994,no,2
99,99,"Frederick, VA",Virginia,62.41,20.0,'delayed previously','used car',7057,0.0,4<=X<7,0,'male single',none,4,'life insurance',31,bank,rent,2,'high qualif/self emp/mgmt',2,Unknown,Good,8/14/1994,Unknown,1
100,100,"James City, VA",Virginia,0.0,24.0,'existing paid','new car',1469,0.0,>=7,4,'male mar/wid',none,0,'real estate',41,none,rent,1,'unskilled resident',1,Unknown,Bad,8/15/1994,Unknown,0
101,101,"Middlesex, VA",Virginia,194.24,36.0,'existing paid',radio/tv,2323,0.0,4<=X<7,4,'male single',none,4,car,24,none,rent,1,skilled,1,yes,Bad,8/16/1994,yes,0
102,102,"Middlesex, VA",Virginia,0.0,6.0,no credit history,radio/tv,932,0.0,1<=X<4,3,'female div/dep/mar',none,0,Other,24,none,Other,1,skilled,1,yes,Good,8/17/1994,yes,0
103,103,"Patrick, VA",Virginia,72.61,9.0,'critical/other existing credit',furniture/equipment,1919,0.0,4<=X<7,4,'male single',Unknown,3,car,35,none,Other,1,Other,1,yes,Good,8/18/1994,yes,0
104,104,"Pittsylvania, VA",Virginia,0.0,12.0,'existing paid','used car',2445,0.0,<1,2,'male mar/wid',none,4,car,26,none,rent,1,skilled,1,no,Good,8/19/1994,no,0
105,105,"Prince William, VA",Virginia,150.24,20.0,'critical/other existing credit',other,11938,20.15,1<=X<4,2,'male single','co applicant',3,car,39,Other,own,2,'high qualif/self emp/mgmt',2,yes,Bad,8/20/1994,yes,1
106,106,"Russell, VA",Virginia,0.0,18.0,'all paid','new car',6458,0.0,>=7,2,'male single',none,4,'no known property',39,bank,own,2,'high qualif/self emp/mgmt',Unknown,no,Good,8/21/1994,no,2
107,107,"Tazewell, VA",Virginia,129.98,12.0,'existing paid','new car',6078,50.34,4<=X<7,2,'male single',none,2,car,31,none,Other,1,skilled,1,no,Good,8/22/1994,no,2
108,108,"Los Angeles, CA",Virginia,0.0,20.0,no credit history,Unknown,3234,0.0,Unknown,0,Unknown,Unknown,0,Other,31,Other,Other,0,Other,Unknown,Unknown,Good,8/23/1994,Unknown,2
109,109,"Danville, VA",Virginia,-757.72,20.0,'existing paid',furniture/equipment,7721,0.0,<1,1,'female div/dep/mar',none,2,'life insurance',30,none,own,1,skilled,1,no,Good,8/24/1994,no,1
110,110,"Lynchburg, VA",Virginia,55.89,20.0,'existing paid',business,1410,549.75,>=7,1,'male mar/wid',Unknown,2,'real estate',35,none,own,1,skilled,1,yes,Good,8/25/1994,yes,0
111,111,"Newport News, VA",Virginia,80.35,6.0,'delayed previously',Unknown,1449,265.76,>=7,1,Unknown,none,2,car,31,bank,own,2,skilled,Unknown,no,Good,8/26/1994,no,0
112,112,"Norfolk, VA",Virginia,0.0,20.0,'existing paid',education,392,0.0,<1,0,'female div/dep/mar',none,0,'life insurance',23,none,Other,1,skilled,1,yes,Good,8/27/1994,yes,0
113,113,"Norfolk, VA",Virginia,80.71,18.0,'existing paid','new car',6260,68.22,4<=X<7,0,'male single',none,3,Other,28,none,rent,1,'unskilled resident',1,no,Bad,8/28/1994,no,2
114,114,"Portsmouth, VA",Virginia,0.0,36.0,'critical/other existing credit','new car',7855,0.0,1<=X<4,4,'female div/dep/mar',none,2,'real estate',25,stores,own,0,skilled,1,yes,Good,8/29/1994,yes,1
115,115,"Richmond, VA",Virginia,0.0,12.0,'existing paid',radio/tv,3234,0.0,>=7,3,'male mar/wid',none,1,'real estate',35,none,own,1,skilled,1,no,Bad,8/30/1994,no,2
116,116,"Virginia Beach, VA",Virginia,0.0,48.0,no credit history,radio/tv,3234,0.0,>=7,4,'male single',none,1,'real estate',47,none,own,1,skilled,1,no,Good,8/31/1994,no,2
117,117,"Orleans, VT",Vermont,-7890.14,20.0,'existing paid',radio/tv,7174,0.0,4<=X<7,4,'female div/dep/mar',none,3,car,30,none,own,1,'high qualif/self emp/mgmt',1,no,Good,9/1/1994,no,1
118,118,"Orleans, VT",Vermont,-308.12,10.0,'critical/other existing credit',furniture/equipment,2132,0.0,Unknown,2,'female div/dep/mar','co applicant',3,'real estate',31,none,rent,2,skilled,1,no,Good,9/2/1994,no,0
119,119,"Asotin, WA",Washington,-6207.62,33.0,'critical/other existing credit',furniture/equipment,4281,777.08,Unknown,1,'female div/dep/mar',none,4,car,23,none,own,2,skilled,1,no,Good,9/3/1994,no,2
120,120,"Benton, WA",Washington,180.83,12.0,no credit history,'new car',2366,804.96,4<=X<7,3,'male div/sep',none,3,car,36,none,own,1,'high qualif/self emp/mgmt',1,Unknown,Good,9/4/1994,Unknown,0
121,121,"Clark, WA",Washington,-4317.01,21.0,'existing paid',radio/tv,1835,6.23,1<=X<4,3,'female div/dep/mar',none,2,'real estate',25,none,own,2,skilled,1,yes,Good,9/5/1994,yes,0
122,122,"Franklin, WA",Washington,0.0,24.0,'critical/other existing credit','used car',3234,0.0,Unknown,4,Unknown,none,0,car,41,none,rent,2,'high qualif/self emp/mgmt',Unknown,no,Good,9/6/1994,no,2
123,123,"King, WA",Washington,0.0,20.0,no credit history,furniture/equipment,1768,0.0,1<=X<4,0,'male single',none,2,'real estate',24,none,rent,0,'unskilled resident',Unknown,yes,Bad,9/7/1994,yes,0
124,124,"King, WA",Washington,4115.41,10.0,'critical/other existing credit','new car',781,68.49,Unknown,0,'male single',Unknown,4,'no known property',63,none,'for free',2,skilled,1,yes,Good,9/8/1994,yes,0
125,125,"King, WA",Washington,69.75,18.0,'existing paid',furniture/equipment,1924,0.0,Unknown,4,'female div/dep/mar',none,3,'real estate',31,Other,rent,1,Other,1,no,Good,9/9/1994,no,0
126,126,"Kitsap, WA",Washington,-8633.29,12.0,'critical/other existing credit','new car',2121,28.28,1<=X<4,4,'male single',Unknown,2,'life insurance',30,none,own,2,skilled,1,Unknown,Bad,9/10/1994,Unknown,0
127,127,"Pierce, WA",Washington,-7111.18,12.0,no credit history,radio/tv,3234,1.11,1<=X<4,4,'male mar/wid',none,2,'real estate',40,none,own,1,'unskilled resident',1,yes,Good,9/11/1994,yes,2
128,128,"Skagit, WA",Washington,150.56,12.0,'existing paid',repairs,3234,33.47,1<=X<4,0,'male single',none,2,car,30,none,own,1,skilled,1,no,Bad,9/12/1994,no,2
129,129,"Snohomish, WA",Washington,163.65,12.0,'critical/other existing credit','used car',1860,21.86,unemployed,4,'male single',Unknown,2,car,34,none,own,2,'high qualif/self emp/mgmt',1,yes,Bad,9/13/1994,yes,0
130,130,"Spokane, WA",Washington,-9688.11,12.0,'critical/other existing credit','new car',3234,0.0,1<=X<4,3,'female div/dep/mar','co applicant',2,'real estate',29,none,own,2,Other,1,yes,Good,9/14/1994,yes,2
131,131,"Spokane, WA",Washington,161.19,48.0,'existing paid','new car',8487,0.0,4<=X<7,1,'female div/dep/mar',none,2,car,24,none,own,1,skilled,1,no,Bad,9/15/1994,no,1
132,132,"Spokane, WA",Washington,-4083.0,36.0,'delayed previously',education,6887,11.36,1<=X<4,4,'male single',none,3,'life insurance',29,stores,own,1,skilled,1,Unknown,Bad,9/16/1994,Unknown,1
